,Open_target_Gene
1,APOE
2,LPA
3,TERT
4,ZC3HC1
5,PCSK9
6,HNF1A
7,PLPP3
8,TGFB1
9,PHACTR1
10,MORF4L1
11,CELSR2
12,LIPA
13,MIA3
14,GUCY1A1
15,JCAD
16,NOS3
17,SMAD3
18,SCARB1
19,COL4A1
20,ARHGAP26
21,MRAS
22,COL4A2
23,CDH13
24,LDLR
25,IL6R
26,ATP2B1
27,CFDP1
28,FURIN
29,ATXN2
30,EDNRA
31,NBEAL1
32,SMG6
33,UMPS
34,PLG
35,FN1
36,SH2B3
37,SMARCA4
38,LPL
39,ZPR1
40,FES
41,CDKN2B
42,TNS1
43,AS3MT
44,TRIM5
45,C10orf142
46,CYP46A1
47,PSRC1
48,ABCG8
49,ARHGEF26
50,TRIB1
51,HHIPL1
52,STAG1
53,KCNE2
54,MAT2A
55,PROCR
56,TWIST1
57,SWAP70
58,DDI1
59,TTC32
60,ANGPTL4
61,KCNK5
62,ATP1B1
63,VAMP5
64,PLCG2
65,SEMA5A
66,C2
67,APOB
68,FLT1
69,TCF21
70,MAD2L1
71,FGF5
72,DHX38
73,GGCX
74,AC009163.4
75,CARF
76,THSD7A
77,SLC22A3
78,FGD6
79,TDRKH
80,BMP1
81,ZNF652
82,PCNX3
83,VEGFA
84,APOA5
85,MCF2L
86,GPR149
87,FGD5
88,TSPAN14
89,IGF2R
90,PDE3A
91,SERPINH1
92,LMOD1
93,CCDC97
94,ZEB2
95,HDGFL1
96,SMUG1
97,C6orf106
98,ARHGAP42
99,HTRA1
100,SHROOM3
101,BCAS3
102,RASGEF1B
103,MAP1S
104,PARP12
105,SLC22A4
106,SF3A3
107,FNDC3B
108,GOSR2
109,CFB
110,DHX58
111,SLC18A1
112,PRDM16
113,FCHO1
114,N4BP2L2
115,KLF4
116,MAP3K7CL
117,CNNM2
118,CETP
119,C1S
120,UHRF1BP1
121,ELL
122,RHOA
123,PRIM2
124,NOA1
125,DAB2IP
126,FIGN
127,PLEKHG1
128,SPECC1L
129,STN1
130,ZNF831
131,MAD1L1
132,SERPINA1
133,ZNF335
134,OMA1
135,ZFPM2
136,ARNTL
137,CENPW
138,GIP
139,SVEP1
140,ABHD2
141,EHBP1L1
142,KCNJ13
143,CDC25A
144,PALLD
145,PECAM1
146,ABO
147,PRKCE
148,EXOC3L2
149,ZHX3
150,R3HDM2
151,BCAP29
152,CCM2
153,RAI1
154,DNAJC13
155,MAP9
156,SCML4
157,KCNAB1
158,ANKRD13B
159,TSPAN2
160,TRPA1
161,TENT5A
162,TMEM106B
163,APOC1
164,DAGLB
165,HGFAC
166,MORN1
167,CORO6
168,TEX2
169,DCLK2
170,MTAP
171,PDS5B
172,SHOC1
173,TDRD15
174,FOXC1
175,NCOA6
176,KSR2
177,SRFBP1
178,NAT2
179,DDX59
180,PLEKHA7
181,ACAA2
182,LRP1
183,ZNF827
184,ARHGAP15
185,SLC2A12
186,SKI
187,RAB23
188,MC4R
189,AGT
190,KANK2
191,CCDC92
192,OAZ2
193,QRICH1
194,KAT2A
195,MAST4
196,UNC5C
197,CYP17A1
198,REST
199,FOXA3
200,MSL2
201,ST3GAL4
202,MYH11
203,GALNT2
204,CDKN1A
205,ABCA1
206,SOX6
207,NR2F2
208,CALCRL
209,COPRS
210,CCNL1
211,CWF19L2
212,CD300LF
213,FBF1
214,PDLIM5
215,SUSD2
216,MRTFA
217,HSD17B12
218,PLCL1
219,SMAD7
220,ARID4A
221,EML1
222,ASZ1
223,CFTR
224,CTR9
225,HDAC9
226,FKBP5
227,BMPR1B
228,PTK7
229,KIAA1217
230,MYO9B
231,HHAT
232,MAP3K1
233,C12orf43
234,CDKN2A
235,NUDT5
236,COL6A3
237,KCNH7
238,CDK18
239,GIPR
240,SNRPD2
241,MAP1B
242,OSM
243,SCAF11
244,EDN1
245,NUP210
246,SELENOI
247,ARL15
