"id","org","lgn","exp","Last update","α","tsize","iter","nPC","nWU"
"127580","Hs","hs_test_001","hgnc_data_mat.csv","2018-03-25 22:11:14","0.050","1000","1000","500 2","176"
"127752","Hs","hs_test_002","hgnc_data_mat.csv","2018-03-28 22:09:18","0.050","1000","2000","500 2","352"
"127753","Hs","hs_test_003","hgnc_data_mat.csv","2018-03-27 04:10:46","0.050","1000","1000","500 1","176"
"127754","Hs","hs_test_004","hgnc_data_mat.csv","2018-03-28 00:11:51","0.050","1000","2000","500 1","352"
"128703","Hs","hs_test_005","hgnc_data_mat.csv","2018-03-31 12:07:59","0.050","1000","1000","500 0","176"
"128704","Hs","hs_test_006","hgnc_data_mat.csv","2018-04-01 22:07:26","0.050","1000","2000","500 0","352"
"137839","Hs","T104555-SOD1","hgnc_data_mat.csv","2018-05-04 10:06:23","0.050","1000","2000","1000 1","176"
"141272","Hs","T104555-SOD1","hgnc_data_mat.csv","2018-05-24 12:08:02","0.050","1000","2000","500 0","352"
"141273","Hs","T000014-HPS1","hgnc_data_mat.csv","2018-05-29 14:07:07","0.050","1000","2000","500 0","352"
"141274","Hs","T051165-FUS","hgnc_data_mat.csv","2018-05-28 12:07:31","0.050","1000","2000","500 0","352"
"141275","Hs","T051172-FUS","hgnc_data_mat.csv","2018-05-29 16:07:37","0.050","1000","2000","500 0","352"
"141276","Hs","T051173-FUS","hgnc_data_mat.csv","2018-05-30 16:07:35","0.050","1000","2000","500 0","352"
"141277","Hs","T051174-FUS","hgnc_data_mat.csv","2018-05-25 20:07:22","0.050","1000","2000","500 0","352"
"141278","Hs","T051179-FUS","hgnc_data_mat.csv","2018-05-29 12:07:14","0.050","1000","2000","500 0","352"
"141279","Hs","T051180-FUS","hgnc_data_mat.csv","2018-05-31 00:07:21","0.050","1000","2000","500 0","352"
"141280","Hs","T051181-FUS","hgnc_data_mat.csv","2018-05-27 14:08:13","0.050","1000","2000","500 0","352"
"141281","Hs","T051182-FUS","hgnc_data_mat.csv","2018-05-26 06:07:29","0.050","1000","2000","500 0","352"
"141282","Hs","T051183-FUS","hgnc_data_mat.csv","2018-05-27 10:06:50","0.050","1000","2000","500 0","352"
"141283","Hs","T051184-FUS","hgnc_data_mat.csv","2018-05-29 10:07:22","0.050","1000","2000","500 0","352"
"141284","Hs","T080361-TARDBP","hgnc_data_mat.csv","2018-05-31 04:07:09","0.050","1000","2000","500 0","352"
"141285","Hs","T080362-TARDBP","hgnc_data_mat.csv","2018-05-30 14:07:25","0.050","1000","2000","500 0","352"
"141286","Hs","T176302-EGFR","hgnc_data_mat.csv","2018-05-27 06:07:00","0.050","1000","2000","500 0","352"
"141287","Hs","T176303-EGFR","hgnc_data_mat.csv","2018-06-04 06:07:02","0.050","1000","2000","500 0","352"
"141288","Hs","T176304-EGFR","hgnc_data_mat.csv","2018-05-29 22:07:06","0.050","1000","2000","500 0","352"
"141289","Hs","T176305-EGFR","hgnc_data_mat.csv","2018-05-28 14:06:57","0.050","1000","2000","500 0","352"
"141290","Hs","T176320-EGFR","hgnc_data_mat.csv","2018-05-27 14:10:42","0.050","1000","2000","500 0","352"
"141291","Hs","T176327-EGFR","hgnc_data_mat.csv","2018-05-30 22:06:56","0.050","1000","2000","500 0","352"
"141292","Hs","T017477-IL6","hgnc_data_mat.csv","2018-05-28 18:08:48","0.050","1000","2000","500 0","352"
"141293","Hs","T017478-IL6","hgnc_data_mat.csv","2018-05-28 08:07:26","0.050","1000","2000","500 0","352"
"141294","Hs","T017479-IL6","hgnc_data_mat.csv","2018-05-31 00:09:45","0.050","1000","2000","500 0","352"
"141295","Hs","T017480-IL6","hgnc_data_mat.csv","2018-05-29 12:09:11","0.050","1000","2000","500 0","352"
"141296","Hs","T055720-IL6","hgnc_data_mat.csv","2018-05-31 00:12:06","0.050","1000","2000","500 0","352"
"141297","Hs","T055721-IL6","hgnc_data_mat.csv","2018-05-30 02:07:01","0.050","1000","2000","500 0","352"
"141298","Hs","T083042-IL6","hgnc_data_mat.csv","2018-05-28 14:08:47","0.050","1000","2000","500 0","352"
"141299","Hs","T083043-IL6","hgnc_data_mat.csv","2018-05-25 14:07:21","0.050","1000","2000","500 0","352"
"141300","Hs","T083044-IL6","hgnc_data_mat.csv","2018-05-29 10:09:45","0.050","1000","2000","500 0","352"
"141301","Hs","T083045-IL6","hgnc_data_mat.csv","2018-05-28 18:11:46","0.050","1000","2000","500 0","352"
