,Open_target_Gene
1,APOE
2,LPA
3,CD55
4,FGB
5,ZC3HC1
6,TERT
7,PCSK9
8,HNF1A
9,PLPP3
10,TGFB1
11,PHACTR1
12,MORF4L1
13,CELSR2
14,LIPA
15,MIA3
16,GUCY1A1
17,JCAD
18,NOS3
19,SMAD3
20,SCARB1
21,COL4A1
22,ARHGAP26
23,MRAS
24,COL4A2
25,CDH13
26,LDLR
27,IL6R
28,ATP2B1
29,CFDP1
30,FURIN
31,ATXN2
32,EDNRA
33,NBEAL1
34,SMG6
35,UMPS
36,PLG
37,FN1
38,SMARCA4
39,SH2B3
40,LPL
41,ZPR1
42,FES
43,CDKN2B
44,TNS1
45,AS3MT
46,TRIM5
47,C10orf142
48,PSRC1
49,CYP46A1
50,ABCG8
51,ARHGEF26
52,TRIB1
53,HHIPL1
54,STAG1
55,KCNE2
56,MAT2A
57,PROCR
58,TWIST1
59,SWAP70
60,DDI1
61,TTC32
62,ANGPTL4
63,KCNK5
64,ATP1B1
65,VAMP5
66,PLCG2
67,SEMA5A
68,C2
69,APOB
70,FLT1
71,TCF21
72,MAD2L1
73,FGF5
74,GGCX
75,AC009163.4
76,THSD7A
77,CARF
78,SLC22A3
79,FGD6
80,TDRKH
81,BMP1
82,ZNF652
83,PCNX3
84,VEGFA
85,APOA5
86,MCF2L
87,GPR149
88,FGD5
89,TSPAN14
90,IGF2R
91,PDE3A
92,SERPINH1
93,LMOD1
94,CCDC97
95,DHX38
96,ZEB2
97,HDGFL1
98,SMUG1
99,C6orf106
100,ARHGAP42
