rank ,gene,isoform
13.672119192422802,NDUFA4L2,T027356
11.29277778366723,FN1,T118318
10.72670162817868,SMAD3,T045742
10.560885693344789,SMAD3,T045737
10.464154237172457,COL4A1,T031315
10.1805852511244,FN1,T118302
10.14338032415869,EFHD2,T083896
10.109318514447304,CSNK1E,T108779
9.82699560271526,SMAD3,T045739
9.806904533189565,NDST1,T150689
9.780840900295,COL4A2,T031348
9.483991541815733,ATP2B1,T030024
9.325095636431866,COL4A2,T031345
9.280689671753109,FN1,T118554
9.224830814766737,COL4A1,T031316
9.222893404656324,ATP2B1,T030022
9.157075911228523,SREBF2,T109276
9.107780119816699,HYAL1,T135873
9.087586910800882,COL4A2,T031376
9.070365867883703,FN1,T118314
9.023042586572,COL4A1,T031346
8.90678596446266,COL4A2,T031342
8.8761216148168,SERPINF2,T055826
8.871601384621883,SEC61A2,T001787
8.86540212951217,FES,T047909
8.829516051946452,PTP4A1,T167157
8.746229752561291,SMOC1,T040086
8.696524346936174,FMNL1,T059497
8.671800744653902,CTGF,T159052
8.653968995401959,ARHGEF2,T083424
8.646317524605493,ALB,T145301
8.632000017581722,COL4A1,T031326
8.625668276549435,RAP2A,T034860
8.585183057842377,F5,T085435
8.577796380829986,CIDEB,T037416
8.57690013500612,FN1,T118352
8.544546676906041,COL4A2,T031343
8.543647808319909,"SEBOX,p2",T056583
8.53256899827727,BZW1,T117162
8.528672544759369,SLC27A2,T044265
8.5195713094065,FN1,T118556
8.510371340655048,"SEBOX,p1",T056584
8.48566888560547,FN1,T118397
8.474805173420881,NAT2,T182802
8.473156795074582,SIGIRR,T014190
8.42685284910491,NTN4,T030577
8.356422481433354,ATF6,T084867
8.346452409648089,TGFB1,T074602
8.289993571503585,CD55,T088843
8.289905800415704,MYADM,T077790
8.269184985433727,PNRC1,T168324
8.242257778573897,OSMR,T153941
8.209762828937304,FURIN,T047905
8.20842790641214,"PON1,p1",T178517
8.19772309869251,H6PD,T097864
8.172324623419705,DHCR7,T018020
8.160389499307776,APOC2,T075433
8.139873036467296,SLC43A3,T015069
8.11960004264534,FN1,T118388
8.110202005505322,FURIN,T047904
8.10622212585024,PTP4A1,T167153
8.089340875939559,COL4A2,T031344
8.081176664280902,CP,T130193
8.078153885784852,MMADHC,T113210
8.069110410114018,MYADM,T077782
7.970825893926903,TET2,T138610
7.968596153812578,SDS,T021311
7.897474012371202,TSPAN9,T024602
7.850805419582898,F2,T014583
7.83922344983122,APOA1,T010093
7.7962091466143,TLR4,T189065
7.7699270122734285,GALM,T122628
7.762752413278119,"SEBOX,p3",T056582
7.758962912221601,BZW1,T117167
7.719431541534916,C2,T164264
7.712220305746714,COL5A3,T069356
7.704649624973571,CD46,T088893
7.681580987298324,LDLR,T069739
7.672955009270459,PRDM8,T146096
7.631414990706099,ITIH3,T136287
7.628366178677796,MRAS,T129503
7.626440777801283,COL1A1,T060298
7.5963221876836515,CYTH1,T064113
7.535347930751895,ATP2B1,T030050
7.5348704379162195,BCL3,T075341
7.5177675711937315,FGA,T140883
7.495434414400999,S100P,T144768
7.485777871482513,MYO1B,T116669
7.485741252648814,P2RY6,T018267
7.460584658810622,FURIN,T047902
7.459063045627575,PLEKHG2,T074118
7.451252333368228,MIRLET7B,T109771
7.449442785689898,SERPINA1,T041766
7.425799451106339,QPCT,T122457
7.4214621632936595,MRAS,T129509
7.384957824918961,LBP,T100606
7.374734526769255,INO80C,T066848
7.356735974571581,RBP4,T008311
7.339731186035053,CD55,T088833
7.337612413767839,AOX1,T117130
7.326730545797055,PCK1,T102686
7.322395918472183,XAF1,T062281
7.2775883245230695,CFI,T138872
7.261227795885,FOLR1,T018107
7.24395896513633,DHCR24,T095532
7.231465162788589,FNDC4,T121718
7.22684687739277,FURIN,T047901
7.22492341675933,C14orf1,T040643
7.195967595034587,C1S,T028890
7.19275633975734,SLC43A3,T015071
7.18694983565155,GLP2R,T065632
7.170715001109499,PNRC1,T168322
7.170399260251665,CREB1,T117776
7.161410797162279,SLC16A13,T062479
7.126709052712383,TDO2,T140991
7.1146384671332195,TMEM91,T074591
7.11151347091297,CEBPB,T102052
7.104441285945523,TNFRSF1A,T027855
7.081105143630843,HSD17B4,T147981
7.078122523348081,SYNPO,T150754
7.047181996162008,MIR4767,T200888
7.037307979493184,ATP2B1,T030018
7.033024810265694,B4GALT1,T192620
7.014424141329802,AVPR1A,T027815
7.0114880787010625,PC,T017439
7.004480670029914,TICAM1,T076195
7.003677321643183,CFB,T164273
6.9898658317788245,CD55,T088842
6.96716989818508,LY6K,T182066
6.96612667688149,CREB3L3,T074455
6.96316759133577,WWP2,T053488
6.957956567051189,FGG,T140921
6.946207906274967,HSD17B6,T027243
6.9459173770027185,CD55,T088832
6.9393569290729,ABCC2,T000058
6.9346759669016285,RASSF5,T088648
6.932463376715502,LAPTM5,T093240
6.926907203393537,TREM2,T165698
6.921518423607415,GLDC,T193553
6.891198877256088,SLC13A5,T062143
6.875633102826552,FTH1,T015764
6.866397282180972,EVC2,T144460
6.851837687813131,SERPING1,T015119
6.847996759298811,CTGF,T159060
6.847792039539173,RHOG,T014139
6.845210903824222,ARHGDIA,T064939
6.841760078549025,CFH,T087300
6.8374377334903205,NAMPTL,T004456
6.835056568871,OSBPL5,T013461
6.832715266314289,SRD5A3,T144401
6.808183067552973,ABCB4,T177903
6.8074784206855,PDE4D,T154866
6.799879596407691,TGFB1,T074598
6.781034902522425,RRBP1,T098674
6.768477933789503,SAT1,T199012
6.74692596492344,NSUN4,T094987
6.745723061894113,HAMP,T073135
6.738157819514419,NLRP1,T060884
6.737187045492693,ME3,T019300
6.7246031400570105,RARA,T058085
6.718819921786658,CSNK1D,T065188
6.709171288248684,TGFB1,T074610
6.699382325700361,TGFB1,T074606
6.629923316632,TMEM91,T074593
6.629162009832077,TGFB1,T074605
6.624886486822243,EHHADH,T132514
6.612022514682557,ATP2B1,T030040
6.582070238938446,DHRS3,T081472
6.580421268506589,MYL6,T027072
6.546730124918301,MVK,T020860
6.543215667314935,NAMPT,T169379
6.52903340548533,LPL,T182939
6.503901855603727,TMEM53,T094777
6.50222477160316,BASP1,T152379
6.500806716040574,HLA-A,T163449
6.495448251850919,RGN,T199850
