isoform	gene
T000001	LOXL4
T000006	PYROXD2
T000007	PYROXD2
T000014	HPS1
T000023	HPSE2
T000030	CNNM1
T000032	GOT1
T000033	GOT1
T000034	GOT1
T000044	SLC25A28
T000050	SLC25A28
T000051	ENTPD7
T000056	COX15
T000057	CUTC
T000058	ABCC2
T000062	ABCC2
T000067	DNMBP
T000070	DNMBP
T000079	DNMBP
T000091	ERLIN1
T000092	ERLIN1
T000093	ERLIN1
T000095	ERLIN1
T000096	ERLIN1
T000097	ERLIN1
T000099	CHUK
T000102	SNORA12
T000106	CWF19L1
T000107	CWF19L1
T000108	BLOC1S2
T000109	BLOC1S2
T000110	BLOC1S2
T000112	BLOC1S2
T000113	BLOC1S2
T000120	SCD
T000121	SCD
T000123	SCD
T000125	SCD
T000126	SCD
T000127	SCD
T000128	SCD
T000129	SCD
T000130	SCD
T000134	SCD
T000192	OLMALINC
T000193	OLMALINC
T000194	OLMALINC
T000195	OLMALINC
T000196	OLMALINC
T000197	OLMALINC
T000198	OLMALINC
T000216	SEC31B
T000217	NDUFB8
T000218	HIF1AN
T000235	PAX2
T000244	SLF2
T000245	SLF2
T000246	SEMA4G
T000250	MRPL43
T000251	MRPL43
T000252	MRPL43
T000253	MRPL43
T000254	TWNK
T000255	LZTS2
T000256	LZTS2
T000257	LZTS2
T000258	LZTS2
T000259	LZTS2
T000260	LZTS2
T000263	LZTS2
T000264	LZTS2
T000265	LZTS2
T000267	PDZD7
T000268	SFXN3
T000269	SFXN3
T000270	SFXN3
T000271	SFXN3
T000273	SFXN3
T000274	SFXN3
T000281	KAZALD1
T000282	KAZALD1
T000283	KAZALD1
T000284	KAZALD1
T000285	KAZALD1
T000286	KAZALD1
T000288	KAZALD1
T000289	KAZALD1
T000297	TLX1
T000305	BTRC
T000306	BTRC
T000307	BTRC
T000308	BTRC
T000320	POLL
T000321	POLL
T000322	DPCD
T000323	DPCD
T000326	FBXW4
T000327	GTPBP4
T000329	FBXW4
T000340	NPM3
T000343	MGEA5
T000346	MGEA5
T000347	MGEA5
T000353	KCNIP2
T000355	KCNIP2
T000365	C10orf76
T000366	C10orf76
T000367	HPS6
T000368	HPS6
T000371	LDB1
T000372	LDB1
T000373	LDB1
T000374	LDB1
T000378	LDB1
T000379	LDB1
T000380	LDB1
T000381	LDB1
T000382	LDB1
T000383	LDB1
T000384	LDB1
T000385	LDB1
T000388	PPRC1
T000391	PPRC1
T000392	NOLC1
T000393	NOLC1
T000394	NOLC1
T000400	ELOVL3
T000401	ELOVL3
T000402	ELOVL3
T000404	PITX3
T000405	PITX3
T000406	GBF1
T000411	NFKB2
T000421	NFKB2
T000422	NFKB2
T000430	NFKB2
T000436	PSD
T000449	FBXL15
T000450	FBXL15
T000451	FBXL15
T000455	CUEDC2
T000456	CUEDC2
T000461	C10orf95
T000462	C10orf95
T000463	C10orf95
T000465	MFSD13A
T000467	ACTR1A
T000470	ACTR1A
T000471	ACTR1A
T000472	SUFU
T000473	SUFU
T000474	SUFU
T000491	TRIM8
T000492	TRIM8
T000493	TRIM8
T000494	TRIM8
T000495	TRIM8
T000501	TRIM8
T000504	TRIM8
T000505	TRIM8
T000507	ARL3
T000508	ARL3
T000509	ARL3
T000510	SFXN2
T000511	SFXN2
T000514	WBP1L
T000515	WBP1L
T000519	WBP1L
T000521	WBP1L
T000524	WBP1L
T000527	WBP1L
T000534	WBP1L
T000535	WBP1L
T000546	BORCS7
T000547	BORCS7
T000549	AS3MT
T000550	AS3MT
T000552	CNNM2
T000553	CNNM2
T000554	CNNM2
T000555	CNNM2
T000559	NT5C2
T000562	NT5C2
T000565	NT5C2
T000566	NT5C2
T000567	NT5C2
T000572	NT5C2
T000577	INA
T000581	INA
T000601	INA
T000603	PCGF6
T000604	PCGF6
T000605	PCGF6
T000606	TAF5
T000608	USMG5
T000609	PDCD11
T000610	PDCD11
T000613	CALHM2
T000614	CALHM2
T000615	CALHM2
T000617	CALHM2
T000629	NEURL1
T000635	NEURL1
T000636	NEURL1
T000637	NEURL1
T000640	NEURL1
T000641	NEURL1
T000643	NEURL1
T000650	SH3PXD2A
T000653	SH3PXD2A
T000656	SH3PXD2A
T000659	SH3PXD2A
T000672	SH3PXD2A
T000673	SH3PXD2A
T000683	STN1
T000685	STN1
T000686	STN1
T000687	STN1
T000688	STN1
T000690	SLK
T000714	COL17A1
T000733	SFR1
T000734	SFR1
T000742	SFR1
T000743	SFR1
T000745	CFAP43
T000753	GSTO1
T000754	GSTO1
T000761	MIR4482
T000762	GSTO2
T000763	GSTO2
T000765	GSTO2
T000775	ITPRIP
T000777	ITPRIP
T000779	ITPRIP
T000798	SORCS3
T000804	IDI2-AS1
T000806	YWHAZP5
T000824	SFTA1P
T000838	SORCS1
T000839	SORCS1
T000854	IDI1
T000857	IDI1
T000859	IDI1
T000861	WDR37
T000875	WDR37
T000876	IDI1
T000877	WDR37
T000893	CELF2
T000899	CELF2
T000901	CELF2
T000902	CELF2
T000916	RNU4-5P
T000917	XPNPEP1
T000921	XPNPEP1
T000923	XPNPEP1
T000924	XPNPEP1
T000925	XPNPEP1
T000928	ADD3
T000929	ADD3
T000932	ADD3
T000936	ADD3
T000938	ADD3
T000939	ADD3
T000940	ADD3
T000941	ADD3
T000942	ADD3
T000943	ADD3
T000949	ADD3
T000950	ADD3
T000954	ADD3
T000963	MXI1
T000964	MXI1
T000965	MXI1
T000972	MXI1
T000973	MXI1
T000978	SMNDC1
T000979	SMNDC1
T000980	SMNDC1
T000985	CELF2
T000986	CELF2
T000987	CELF2
T000988	CELF2
T000990	CELF2
T000994	CELF2
T001019	DUSP5
T001024	DUSP5
T001025	DUSP5
T001028	DUSP5
T001034	SMC3
T001035	SMC3
T001047	RBM20
T001048	RBM20
T001052	RBM20
T001069	PDCD4
T001070	PDCD4
T001071	PDCD4
T001072	PDCD4
T001075	PDCD4
T001076	PDCD4
T001078	PDCD4
T001081	MIR4680
T001082	PDCD4
T001087	BBIP1
T001088	BBIP1
T001089	BBIP1
T001090	BBIP1
T001091	SHOC2
T001092	SHOC2
T001095	RPL13AP6
T001096	SHOC2
T001098	ADRA2A
T001100	ADRA2A
T001125	GPAM
T001128	GPAM
T001133	GPAM
T001148	ACSL5
T001153	ACSL5
T001158	ACSL5
T001160	ACSL5
T001171	ACSL5
T001176	ACSL5
T001179	ZDHHC6
T001180	ZDHHC6
T001181	ZDHHC6
T001182	ZDHHC6
T001183	VTI1A
T001184	VTI1A
T001185	ZDHHC6
T001186	ZDHHC6
T001192	TCF7L2
T001193	TCF7L2
T001196	TCF7L2
T001197	TCF7L2
T001198	TCF7L2
T001199	TCF7L2
T001200	TCF7L2
T001201	TCF7L2
T001224	TCF7L2
T001226	TCF7L2
T001267	CASP7
T001268	CASP7
T001269	CASP7
T001270	CASP7
T001271	CASP7
T001272	CASP7
T001273	CASP7
T001283	DCLRE1A
T001284	DCLRE1A
T001285	NHLRC2
T001286	NHLRC2
