gene	isoform
NDUFA4L2	T027356
FN1	T118318	T118302	T118554	T118314	T118352	T118556	T118397	T118388
COL4A1	T031315	T031316	T031346	T031326
COL4A2	T031348	T031345	T031376	T031342	T031343	T031344
CTGF	T159052	T159060	T159048	T159075	T159049	T159050
F5	T085435
SEBOX	T056583	T056584	T056582
TGFB1	T074602	T074598	T074610	T074606	T074605	T074600	T074609	T074603	T074601	T074611	T074587
F2	T014583
TLR4	T189065	T189059	T189066
COL5A3	T069356	T069349
COL1A1	T060298
FGA	T140883
FOLR1	T018107
DHCR24	T095532
GLP2R	T065632
TNFRSF1A	T027855
AVPR1A	T027815
FGG	T140921
SRD5A3	T144401	T144402
PDE4D	T154866	T154902	T154810
HAMP	T073135
RARA	T058085	T058100
NAMPT	T169379	T169335
JAK1	T096105	T096115	T096126
KCNJ2	T062393
FDPS	T083316
CPT2	T095389
LAMB3	T089107
PCSK9	T095548	T095547	T095546
FLT1	T032366
VEGFB	T016361
POLD1	T077038	T077037
IL1R1	T110465	T110454
XPNPEP2	T197024
NR1H3	T014636	T014634
NFE2L2	T115207
GBA	T083278
PLA2G2A	T088015
ACAT1	T009344
FDFT1	T179915	T179905
HLA-DRB1	T164463
IFNGR2	T104713
PLA2G7	T166463	T166462
CHEK2	T107435	T107438
ATP1B3	T129738
ANPEP	T047758	T047716
COL6A3	T120651
COL11A2	T164679
CDK16	T199897	T199890
PIM2	T200124
COL27A1	T188786
ALOX5	T004858
CD70	T078937	T078944
GSK3B	T127991
SLC29A1	T166176
PIM3	T110008
CSF1	T080294
CASP7	T001273	T001271
GAA	T064513
PDE4B	T096303	T096306	T096292
PTGS2	T086952
NCSTN	T084498
NDUFS2	T084739
TSG101	T012491	T012492	T012497
PLK1	T049931
NDUFB7	T070738
BCL2L1	T099536	T099537
IDH2	T047799
PSMA4	T046857
ENG	T189864
EPHA1	T172230
TNFRSF10B	T183377
CDK14	T178009
SRD5A1	T155206
FGFR4	T152675
TUBA1B	T025585	T025587
PIK3CG	T169479
GABBR1	T163382
PDE2A	T018142
MMP9	T101423
PSCA	T182055
CALM1	T041296
PDE8B	T155868
DNMT3A	T121395	T121405	T121396
IL6	T173887
EPHA2	T085110
PIK3CA	T131945
TNFRSF8	T081340
LTB4R	T037426
VDR	T025405
EEF2	T073989
SCN9A	T114378	T114377
PTH1R	T135235
P4HB	T064917	T064906
CFD	T079502
ARAF	T199921
SIGMAR1	T192808	T192806
IFNAR2	T104663
PRKCD	T136325
ABCA1	T188099
ERBB3	T027041
NR3C1	T149989	T149990
HGF	T177660
BIRC2	T008931
ERAP1	T156975
OPRL1	T103602
GSTP1	T017641	T017637
PRKACA	T070608
RAMP2	T058837
HSP90AA1	T035413
INSR	T079158
MAP3K9	T040135
TNFSF13	T063573
CASP8	T117295
CACNG4	T062015
NFE2	T026720
LTBR	T027917
EPHB6	T172134
GART	T104728
KCNH2	T172643
S1PR5	T069572
TUBB	T163659
KCNC3	T077026
FLT4	T153136
DHODH	T053716
FNTB	T039635
TNFSF12	T063491
TGFB3	T040663	T040661
KCNH8	T133110
EGLN2	T074434
METAP2	T030555
LAMA2	T158888
NDUFA13	T071869
MAPKAPK5	T021118
CD276	T046295
HDAC5	T059095
DRD2	T009883
NTRK1	T083823
PIK3R3	T094948
MALT1	T068070
SLC6A9	T094722
HDAC6	T200099
PTGER4	T154067
KCNK10	T041161
CD44	T013917
P4HTM	T135536
MET	T170022
